data,obiekt,band,max,min,mean,max-min,max_after,min_after,mean_after,max-min_after
2020-03-15,trw,b1,399,133,260.4,266,373.0,155.0,260.13953488372096,218.0
2020-03-15,trw,b2,736,323,484.34444444444443,413,673.0,329.0,482.6046511627907,344.0
2020-03-15,trw,b3,895,406,639.8888888888889,489,883.0,430.0,639.2790697674419,453.0
2020-03-15,trw,b4,1426,700,1040.1222222222223,726,1404.0,767.0,1038.7325581395348,637.0
2020-03-15,trw,b5,1647,917,1247.611111111111,730,1608.0,943.0,1246.139534883721,665.0
2020-03-15,trw,b6,1886,1094,1438.5666666666666,792,1846.0,1114.0,1436.3255813953488,732.0
2020-03-15,trw,b7,2102,1288,1637.5111111111112,814,2063.0,1322.0,1634.8255813953488,741.0
2020-03-15,trw,b8,2536,1590,2000.0111111111112,946,2480.0,1626.0,1997.4767441860465,854.0
2020-03-15,trw,b9,2378,1486,1896.9222222222222,892,2359.0,1541.0,1894.9302325581396,818.0
2020-03-15,trw,b10,3399,2396,2819.311111111111,1003,3305.0,2427.0,2816.5,878.0
2020-03-15,trw,b11,2365,1550,1890.6888888888889,815,2331.0,1588.0,1887.7093023255813,743.0
2020-03-15,trw,b12,2518,1602,2002.2111111111112,916,2430.0,1649.0,2000.453488372093,781.0
2020-03-15,ws,b1,3,0,1.0471698113207548,3,3,0,1.0471698113207548,3
2020-03-15,ws,b2,81,12,47.16981132075472,69,81,12,47.16981132075472,69
2020-03-15,ws,b3,152,48,90.70754716981132,104,131.0,51.0,90.52941176470588,80.0
2020-03-15,ws,b4,109,7,50.783018867924525,102,103.0,12.0,50.509803921568626,91.0
2020-03-15,ws,b5,156,15,72.00943396226415,141,148.0,21.0,71.49019607843137,127.0
2020-03-15,ws,b6,51,0,10.556603773584905,51,51,0,10.556603773584905,51
2020-03-15,ws,b7,64,0,16.31132075471698,64,64,0,16.31132075471698,64
2020-03-15,ws,b8,59,0,14.443396226415095,59,59,0,14.443396226415095,59
2020-03-15,ws,b9,149,0,8.60377358490566,149,92.0,0.0,6.019607843137255,92.0
2020-03-15,ws,b10,70,1,22.632075471698112,69,70,1,22.632075471698112,69
2020-03-15,ws,b11,58,1,20.57547169811321,57,58,1,20.57547169811321,57
2020-03-15,ws,b12,28,0,5.471698113207547,28,28,0,5.471698113207547,28
2020-03-15,wp,b1,376,85,176.93333333333334,291,339.0,86.0,174.4418604651163,253.0
2020-03-15,wp,b2,216,12,91.97777777777777,204,193.0,17.0,91.13953488372093,176.0
2020-03-15,wp,b3,406,31,141.23333333333332,375,296.0,56.0,138.40697674418604,240.0
2020-03-15,wp,b4,432,47,158.16666666666666,385,389.0,57.0,154.80232558139534,332.0
2020-03-15,wp,b5,964,61,312.8666666666667,903,802.0,68.0,305.3837209302326,734.0
2020-03-15,wp,b6,1235,12,321.31111111111113,1223,1026.0,30.0,308.9767441860465,996.0
2020-03-15,wp,b7,1418,0,357.8777777777778,1418,1169.0,36.0,343.7674418604651,1133.0
2020-03-15,wp,b8,1072,80,204.43333333333334,992,698.0,85.0,189.97674418604652,613.0
2020-03-15,wp,b9,2183,758,1418.3444444444444,1425,2070.0,780.0,1416.2906976744187,1290.0
2020-03-15,wp,b10,1798,141,674.9777777777778,1657,1679.0,158.0,662.3720930232558,1521.0
2020-03-15,wp,b11,1282,104,466.9222222222222,1178,1124.0,121.0,457.4186046511628,1003.0
2020-03-15,wp,b12,1599,15,418.0,1584,1253.0,30.0,402.36046511627904,1223.0
2020-03-15,zab,b1,3872,234,833.7053571428571,3638,3572.0,253.0,791.1481481481482,3319.0
2020-03-15,zab,b2,4308,190,1331.669642857143,4118,3526.0,304.0,1300.7685185185185,3222.0
2020-03-15,zab,b3,4100,199,1365.3839285714287,3901,3596.0,391.0,1337.898148148148,3205.0
2020-03-15,zab,b4,3812,201,1532.2857142857142,3611,3638.0,568.0,1514.648148148148,3070.0
2020-03-15,zab,b5,3658,565,1582.107142857143,3093,3170.0,691.0,1564.898148148148,2479.0
2020-03-15,zab,b6,3493,767,1790.8839285714287,2726,3323.0,925.0,1778.4907407407406,2398.0
2020-03-15,zab,b7,3700,872,1861.5267857142858,2828,3430.0,1054.0,1845.787037037037,2376.0
2020-03-15,zab,b8,4396,552,1997.982142857143,3844,3808.0,984.0,1980.5185185185185,2824.0
2020-03-15,zab,b9,5014,1334,2092.4910714285716,3680,4719.0,1370.0,2055.1574074074074,3349.0
2020-03-15,zab,b10,3427,1133,2079.1071428571427,2294,3014.0,1202.0,2074.3981481481483,1812.0
2020-03-15,zab,b11,3383,900,1830.125,2483,2864.0,1023.0,1822.7222222222222,1841.0
2020-03-15,zab,b12,3397,989,1939.6785714285713,2408,3255.0,1086.0,1930.8703703703704,2169.0
2020-03-15,igl,b1,69,1,40.5,68,69,1,40.5,68
2020-03-15,igl,b2,162,39,108.525,123,152.0,53.0,108.94736842105263,99.0
2020-03-15,igl,b3,290,138,211.65,152,265.0,138.0,211.52631578947367,127.0
2020-03-15,igl,b4,249,94,162.05,155,237.0,96.0,161.55263157894737,141.0
2020-03-15,igl,b5,564,295,462.2,269,564.0,362.0,463.92105263157896,202.0
2020-03-15,igl,b6,1308,947,1207.05,361,1305.0,962.0,1211.2368421052631,343.0
2020-03-15,igl,b7,1521,1030,1400.375,491,1521.0,1142.0,1406.9473684210527,379.0
2020-03-15,igl,b8,1801,1191,1549.875,610,1744.0,1318.0,1552.7105263157894,426.0
2020-03-15,igl,b9,1628,1339,1516.8,289,1627.0,1350.0,1518.5526315789473,277.0
2020-03-15,igl,b10,832,548,723.7,284,831.0,573.0,725.4736842105264,258.0
2020-03-15,igl,b11,450,297,383.15,153,449.0,316.0,383.6578947368421,133.0
2020-03-15,igl,b12,1705,1265,1565.375,440,1693.0,1317.0,1569.6052631578948,376.0
2020-03-15,lisc,b1,125,72,104.35,53,125,72,104.35,53
